OBJECT_ID,RA,DEC
MY FAINT TARGET,219.51031566538424,-42.59752571716696
TYC 7814-1561-1,219.5390582596149,-42.6366214758733
HD 128410,219.5054617408233,-42.5465342392368
Hilt 652,280.00698687935676,-12.40190417989647
MY FAINT POLAR TARGET,279.989803180779,-12.406724346059015
